single_status,R_age,R_yrsed,R_race,R_political,R_religion,R_gender,R_work,R_house,R_rent,R_citydweller,R_region
partnered,31,14.0,NH white,democrat,none,female,working,a one-family house attached to one or more houses,rented for cash,metro,south
single,46,17.0,NH white,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",male,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,midwest
single,57,14.0,NH white,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",male,disabled,a building with 2 or more apartments,rented for cash,metro,northeast
partnered,44,17.0,NH white,democrat,jewish,female,working,a building with 2 or more apartments,owned or being bought by you or someone in your household,metro,northeast
partnered,41,17.0,NH white,democrat,none,male,working,a building with 2 or more apartments,owned or being bought by you or someone in your household,metro,midwest
partnered,47,16.0,Hispanic,democrat,none,male,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,west
partnered,76,16.0,NH white,democrat,catholic,male,retired,a building with 2 or more apartments,rented for cash,metro,west
partnered,70,20.0,NH white,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",male,retired,a one-family house attached to one or more houses,owned or being bought by you or someone in your household,metro,west
partnered,44,16.0,NH white,democrat,jewish,female,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,northeast
partnered,50,16.0,NH white,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",male,working,a building with 2 or more apartments,owned or being bought by you or someone in your household,metro,northeast
partnered,47,16.0,NH white,democrat,none,male,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,west
single,48,16.0,Hispanic,democrat,catholic,male,disabled,a building with 2 or more apartments,rented for cash,metro,northeast
single,40,12.0,Hispanic,republican,none,male,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,west
partnered,45,13.0,NH white,democrat,none,female,unemployed,a building with 2 or more apartments,owned or being bought by you or someone in your household,metro,south
partnered,34,17.0, NH black,democrat,baptist - any denomination,male,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,south
single,26,13.0,Hispanic,democrat,other christian,female,unemployed,a building with 2 or more apartments,rented for cash,metro,west
partnered,27,13.0,Hispanic,democrat,other christian,female,working,a one-family house attached to one or more houses,rented for cash,metro,northeast
single,42,17.0,NH white,republican,none,male,working,a one-family house detached from any other house,rented for cash,metro,west
partnered,21,13.0,NH white,republican,baptist - any denomination,male,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,midwest
single,54,14.0,NH white,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",female,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,midwest
single,46,17.0,NH white,republican,catholic,male,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,northeast
single,36,14.0, NH Asian Pac Islander,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",female,disabled,a building with 2 or more apartments,rented for cash,metro,northeast
single,56,14.0,NH white,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",male,working,a building with 2 or more apartments,owned or being bought by you or someone in your household,metro,midwest
partnered,39,14.0,NH white,democrat,none,female,disabled,a building with 2 or more apartments,owned or being bought by you or someone in your household,metro,northeast
partnered,46,17.0,NH white,republican,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",female,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,non-metro,south
single,21,13.0,Hispanic,democrat,none,female,working,a one-family house attached to one or more houses,rented for cash,metro,south
single,55,12.0,NH white,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",male,working,a building with 2 or more apartments,rented for cash,metro,northeast
partnered,63,16.0,NH white,democrat,none,male,working,a building with 2 or more apartments,owned or being bought by you or someone in your household,metro,northeast
partnered,41,17.0, NH Asian Pac Islander,democrat,none,female,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,west
partnered,57,16.0,NH white,democrat,catholic,female,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,northeast
single,52,14.0,NH white,republican,baptist - any denomination,male,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,non-metro,midwest
single,43,16.0,NH white,democrat,none,male,working,a one-family house attached to one or more houses,owned or being bought by you or someone in your household,metro,midwest
partnered,53,16.0,NH white,democrat,"other non-christian, please specify",female,working,a one-family house attached to one or more houses,owned or being bought by you or someone in your household,metro,midwest
partnered,62,12.0,NH white,democrat,mormon,male,disabled,a mobile home,owned or being bought by you or someone in your household,non-metro,south
single,45,17.0,NH white,republican,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",male,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,midwest
single,40,16.0,NH white,republican,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",male,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,south
partnered,41,13.0,Hispanic,republican,catholic,female,working,a building with 2 or more apartments,rented for cash,metro,west
partnered,47,13.0,NH white,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",female,working,a building with 2 or more apartments,rented for cash,metro,south
single,20,13.0,NH white,democrat,catholic,female,unemployed,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,midwest
partnered,46,16.0,NH white,democrat,"other non-christian, please specify",female,working,a one-family house attached to one or more houses,owned or being bought by you or someone in your household,metro,northeast
partnered,20,12.0,NH white,republican,other christian,female,working,a one-family house detached from any other house,rented for cash,metro,midwest
partnered,51,12.0,NH white,republican,none,male,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,non-metro,south
partnered,56,17.0,NH white,democrat,none,female,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,west
partnered,64,17.0,NH white,democrat,jewish,female,retired,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,northeast
partnered,51,17.0,NH white,democrat,none,female,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,west
single,21,13.0,NH white,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",male,unemployed,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,west
partnered,52,13.0,NH white,democrat,other christian,female,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,midwest
single,23,14.0,Hispanic,democrat,"other non-christian, please specify",female,unemployed,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,west
partnered,49,17.0, NH black,democrat,baptist - any denomination,male,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,west
single,51,17.0,NH white,republican,other christian,male,working,a one-family house attached to one or more houses,owned or being bought by you or someone in your household,metro,south
single,59,12.0,NH white,democrat,baptist - any denomination,male,disabled,a one-family house detached from any other house,owned or being bought by you or someone in your household,non-metro,south
partnered,44,12.0,NH white,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",male,working,a building with 2 or more apartments,rented for cash,metro,south
partnered,57,16.0,NH white,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",female,retired,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,south
partnered,49,16.0,NH white,republican,catholic,male,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,south
partnered,54,13.0, NH Other,democrat,"other non-christian, please specify",male,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,midwest
partnered,52,16.0,NH white,democrat,none,female,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,south
partnered,53,12.0,NH white,democrat,none,female,working,a one-family house attached to one or more houses,owned or being bought by you or someone in your household,metro,northeast
single,52,13.0,NH white,democrat,other christian,female,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,south
partnered,49,16.0,NH white,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",female,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,northeast
partnered,54,16.0, NH Asian Pac Islander,republican,hindu,female,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,northeast
partnered,44,14.0,NH white,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",female,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,midwest
partnered,50,14.0,NH white,democrat,other christian,female,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,midwest
partnered,40,16.0,Hispanic,democrat,none,female,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,south
partnered,89,13.0,NH white,democrat,none,female,disabled,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,south
single,36,17.0,NH white,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",female,working,a building with 2 or more apartments,owned or being bought by you or someone in your household,metro,northeast
partnered,55,16.0,NH white,democrat,none,female,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,west
partnered,47,13.0,NH white,democrat,none,male,working,a one-family house attached to one or more houses,owned or being bought by you or someone in your household,metro,west
partnered,49,16.0,NH white,republican,mormon,male,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,west
partnered,53,14.0,NH white,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",female,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,west
single,55,16.0, NH Amer Indian,democrat,none,female,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,non-metro,midwest
partnered,52,20.0,NH white,democrat,none,male,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,midwest
partnered,43,16.0,NH white,democrat,none,male,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,south
partnered,44,16.0,NH white,democrat,none,male,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,south
partnered,42,17.0,NH white,democrat,none,male,working,a building with 2 or more apartments,owned or being bought by you or someone in your household,metro,south
partnered,46,13.0,NH white,democrat,none,male,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,west
partnered,59,20.0,NH white,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",male,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,northeast
partnered,39,16.0,NH white,democrat,"other non-christian, please specify",female,working,a one-family house detached from any other house,rented for cash,metro,west
partnered,31,16.0,NH white,democrat,none,female,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,northeast
partnered,63,17.0, NH Asian Pac Islander,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",male,unemployed,a building with 2 or more apartments,owned or being bought by you or someone in your household,metro,northeast
single,61,13.0,NH white,democrat,"other non-christian, please specify",female,retired,a one-family house detached from any other house,occupied without payment of cash rent,metro,west
partnered,52,17.0,NH white,democrat,"other non-christian, please specify",female,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,west
partnered,36,13.0,NH white,democrat,none,female,unemployed,a building with 2 or more apartments,rented for cash,metro,west
partnered,63,16.0,NH white,democrat,"other non-christian, please specify",female,retired,a one-family house attached to one or more houses,owned or being bought by you or someone in your household,metro,south
partnered,41,16.0,Hispanic,republican,none,male,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,south
partnered,62,13.0,NH white,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",male,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,midwest
partnered,68,20.0,NH white,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",female,working,a building with 2 or more apartments,owned or being bought by you or someone in your household,metro,south
partnered,48,16.0, NH Other,democrat,none,female,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,west
partnered,44,20.0,NH white,republican,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",male,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,northeast
partnered,61,16.0,NH white,democrat,pentecostal,male,working,a building with 2 or more apartments,rented for cash,metro,west
partnered,42,17.0,NH white,democrat,none,male,working,a building with 2 or more apartments,rented for cash,metro,south
partnered,29,16.0,NH white,democrat,none,female,unemployed,a building with 2 or more apartments,rented for cash,metro,west
partnered,43,17.0,NH white,democrat,catholic,female,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,midwest
single,51,17.0,NH white,democrat,catholic,female,disabled,a building with 2 or more apartments,rented for cash,non-metro,northeast
partnered,49,16.0,NH white,democrat,buddhist,female,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,northeast
single,42,13.0,Hispanic,democrat,catholic,male,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,west
partnered,61,16.0,Hispanic,democrat,buddhist,female,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,west
partnered,41,20.0,NH white,democrat,none,female,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,midwest
partnered,49,13.0,NH white,democrat,none,male,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,south
partnered,40,16.0,Hispanic,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",male,working,a building with 2 or more apartments,rented for cash,metro,west
partnered,24,11.0,NH white,democrat,"other non-christian, please specify",female,disabled,a one-family house detached from any other house,rented for cash,metro,midwest
partnered,55,17.0,NH white,democrat,"other non-christian, please specify",female,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,south
partnered,61,16.0, NH Other,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",male,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,south
partnered,30,13.0,NH white,democrat,"other non-christian, please specify",female,disabled,a one-family house detached from any other house,rented for cash,metro,south
partnered,48,14.0,NH white,republican,other christian,male,working,a one-family house detached from any other house,rented for cash,metro,south
partnered,43,12.0,NH white,republican,other christian,male,working,a building with 2 or more apartments,owned or being bought by you or someone in your household,metro,northeast
partnered,49,16.0,NH white,republican,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",female,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,south
single,39,13.0,NH white,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",male,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,south
partnered,56,13.0,NH white,democrat,none,female,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,midwest
partnered,37,13.0, NH black,democrat,baptist - any denomination,female,working,a building with 2 or more apartments,rented for cash,metro,south
single,53,16.0,NH white,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",female,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,non-metro,midwest
partnered,58,16.0,NH white,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",female,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,west
partnered,32,17.0,NH white,democrat,other christian,female,unemployed,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,midwest
partnered,28,17.0,NH white,democrat,catholic,female,working,a building with 2 or more apartments,rented for cash,metro,northeast
partnered,29,13.0,Hispanic,democrat,catholic,female,working,a building with 2 or more apartments,rented for cash,metro,south
partnered,37,12.0, NH black,democrat,baptist - any denomination,male,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,non-metro,south
partnered,60,17.0,NH white,democrat,none,male,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,south
partnered,38,20.0,NH white,democrat,none,female,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,south
partnered,39,17.0,NH white,democrat,other christian,male,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,midwest
partnered,31,17.0, NH black,democrat,baptist - any denomination,female,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,south
partnered,37,16.0,NH white,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",female,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,west
partnered,54,16.0,NH white,republican,none,female,other,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,west
partnered,50,16.0,NH white,republican,"other non-christian, please specify",female,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,south
partnered,49,13.0,NH white,democrat,catholic,male,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,midwest
partnered,50,12.0, NH black,democrat,baptist - any denomination,female,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,south
single,35,13.0,NH white,republican,baptist - any denomination,female,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,south
partnered,44,13.0,NH white,republican,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",male,unemployed,a one-family house attached to one or more houses,owned or being bought by you or someone in your household,metro,northeast
partnered,42,16.0,NH white,democrat,other christian,male,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,west
partnered,56,14.0,NH white,republican,none,male,retired,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,west
single,57,16.0,NH white,democrat,none,male,unemployed,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,south
partnered,45,12.0,NH white,democrat,pentecostal,male,working,a one-family house detached from any other house,rented for cash,metro,south
partnered,60,20.0, NH black,democrat,baptist - any denomination,female,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,south
partnered,59,14.0, NH black,democrat,baptist - any denomination,female,working,a building with 2 or more apartments,rented for cash,metro,south
partnered,58,14.0,NH white,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",female,retired,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,midwest
partnered,58,17.0,NH white,democrat,catholic,female,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,midwest
partnered,56,16.0,NH white,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",female,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,west
partnered,47,20.0,NH white,democrat,catholic,male,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,midwest
partnered,43,17.0,NH white,democrat,none,female,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,midwest
partnered,50,20.0,NH white,republican,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",male,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,south
partnered,56,17.0,NH white,democrat,"other non-christian, please specify",female,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,midwest
single,46,17.0,NH white,other,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",female,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,south
partnered,24,11.0, NH Other,other,"other non-christian, please specify",male,working,a building with 2 or more apartments,rented for cash,metro,south
partnered,61,17.0,NH white,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",female,retired,a one-family house detached from any other house,owned or being bought by you or someone in your household,non-metro,northeast
partnered,37,12.0, NH Amer Indian,republican,other christian,female,disabled,a building with 2 or more apartments,rented for cash,metro,west
single,58,20.0, NH black,democrat,other christian,female,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,midwest
single,59,16.0,NH white,democrat,jewish,female,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,west
single,54,12.0,NH white,democrat,"other non-christian, please specify",female,working,a one-family house attached to one or more houses,rented for cash,metro,south
single,22,13.0,NH white,democrat,catholic,female,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,northeast
partnered,69,13.0,NH white,republican,baptist - any denomination,male,retired,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,south
single,24,16.0, NH black,democrat,baptist - any denomination,female,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,south
single,48,16.0,NH white,democrat,jewish,female,working,a one-family house attached to one or more houses,owned or being bought by you or someone in your household,metro,west
single,46,16.0,NH white,republican,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",male,working,a building with 2 or more apartments,rented for cash,metro,west
partnered,53,20.0,NH white,democrat,none,female,working,a one-family house attached to one or more houses,owned or being bought by you or someone in your household,metro,west
partnered,55,13.0,Hispanic,democrat,none,male,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,non-metro,northeast
partnered,53,13.0,NH white,democrat,other christian,female,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,midwest
partnered,63,17.0,NH white,republican,catholic,male,retired,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,west
partnered,41,16.0,NH white,democrat,catholic,male,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,south
partnered,43,20.0,NH white,democrat,catholic,female,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,south
partnered,45,13.0,NH white,democrat,"other non-christian, please specify",male,working,a building with 2 or more apartments,owned or being bought by you or someone in your household,metro,northeast
partnered,54,13.0, NH Amer Indian,democrat,catholic,male,disabled,a building with 2 or more apartments,owned or being bought by you or someone in your household,metro,northeast
partnered,51,20.0,NH white,democrat,jewish,male,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,south
partnered,57,16.0,Hispanic,democrat,catholic,male,working,a building with 2 or more apartments,rented for cash,metro,west
partnered,58,17.0,NH white,democrat,none,male,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,west
partnered,35,12.0,NH white,democrat,pentecostal,female,disabled,a one-family house detached from any other house,rented for cash,non-metro,west
partnered,66,20.0,NH white,republican,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",male,retired,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,south
partnered,41,16.0,NH white,republican,hindu,male,working,a one-family house detached from any other house,rented for cash,metro,south
partnered,74,16.0,NH white,republican,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",male,retired,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,south
single,38,13.0,NH white,democrat,"other non-christian, please specify",male,working,a building with 2 or more apartments,owned or being bought by you or someone in your household,metro,midwest
partnered,59,13.0,NH white,democrat,"other non-christian, please specify",female,disabled,a one-family house detached from any other house,owned or being bought by you or someone in your household,non-metro,northeast
partnered,37,13.0,NH white,republican,none,male,working,a one-family house detached from any other house,rented for cash,metro,west
partnered,74,20.0, NH black,democrat,baptist - any denomination,male,retired,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,south
partnered,27,12.0,NH white,democrat,none,male,working,a one-family house detached from any other house,rented for cash,metro,west
partnered,61,20.0,NH white,democrat,buddhist,female,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,west
partnered,27,14.0,NH white,republican,none,female,working,a building with 2 or more apartments,rented for cash,non-metro,west
single,22,14.0,NH white,democrat,baptist - any denomination,male,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,northeast
partnered,48,16.0,NH white,democrat,catholic,male,working,a one-family house attached to one or more houses,owned or being bought by you or someone in your household,metro,west
partnered,70,17.0,NH white,democrat,other christian,male,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,south
single,45,12.0,NH white,democrat,buddhist,female,working,a building with 2 or more apartments,rented for cash,metro,northeast
partnered,45,14.0,NH white,democrat,"other non-christian, please specify",male,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,south
single,46,16.0,NH white,democrat,catholic,male,working,a one-family house attached to one or more houses,owned or being bought by you or someone in your household,metro,west
partnered,55,20.0,NH white,democrat,"other non-christian, please specify",female,working,a one-family house attached to one or more houses,rented for cash,metro,west
partnered,40,17.0,NH white,democrat,other christian,female,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,west
partnered,49,13.0,Hispanic,democrat,baptist - any denomination,female,disabled,a building with 2 or more apartments,rented for cash,metro,northeast
partnered,45,17.0,NH white,democrat,none,male,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,northeast
partnered,50,13.0,NH white,republican,catholic,female,retired,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,west
partnered,35,16.0,NH white,democrat,catholic,female,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,south
partnered,36,13.0,NH white,democrat,none,female,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,south
partnered,50,16.0,NH white,democrat,none,female,working,a one-family house attached to one or more houses,rented for cash,metro,west
partnered,37,12.0, NH black,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",female,working,a one-family house attached to one or more houses,rented for cash,metro,south
partnered,64,13.0,NH white,republican,catholic,male,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,northeast
single,48,13.0,NH white,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",female,working,a one-family house detached from any other house,rented for cash,metro,south
partnered,45,13.0,NH white,democrat,none,female,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,west
partnered,48,13.0,NH white,democrat,none,male,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,non-metro,south
partnered,49,14.0,NH white,democrat,catholic,male,disabled,a mobile home,owned or being bought by you or someone in your household,metro,midwest
partnered,46,12.0,NH white,democrat,other christian,female,working,a one-family house attached to one or more houses,rented for cash,metro,northeast
partnered,77,13.0,NH white,democrat,none,male,retired,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,midwest
partnered,33,12.0, NH black,democrat,none,male,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,midwest
partnered,66,17.0, NH Other,democrat,"other non-christian, please specify",male,working,a building with 2 or more apartments,owned or being bought by you or someone in your household,metro,south
partnered,39,13.0,NH white,democrat,none,female,unemployed,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,south
partnered,41,17.0,NH white,democrat,none,female,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,west
partnered,33,13.0,NH white,other,catholic,male,working,a building with 2 or more apartments,rented for cash,metro,northeast
partnered,49,12.0,NH white,democrat,catholic,female,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,non-metro,west
partnered,52,16.0,NH white,democrat,catholic,male,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,non-metro,south
partnered,65,13.0,NH white,democrat,other christian,male,retired,a one-family house detached from any other house,rented for cash,metro,midwest
single,47,20.0,NH white,democrat,catholic,male,working,a building with 2 or more apartments,rented for cash,metro,northeast
partnered,57,16.0,NH white,republican,catholic,male,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,west
partnered,49,12.0, NH Other,democrat,catholic,male,disabled,a building with 2 or more apartments,rented for cash,metro,west
partnered,51,16.0,NH white,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",male,working,a one-family house attached to one or more houses,owned or being bought by you or someone in your household,metro,south
partnered,19,13.0,NH white,democrat,"other non-christian, please specify",female,unemployed,a one-family house detached from any other house,owned or being bought by you or someone in your household,non-metro,midwest
partnered,49,16.0,NH white,democrat,none,male,unemployed,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,northeast
partnered,52,16.0,NH white,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",female,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,midwest
single,43,16.0,NH white,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",male,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,northeast
partnered,55,17.0,NH white,democrat,catholic,male,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,midwest
single,69,7.5,NH white,democrat,baptist - any denomination,male,retired,a one-family house detached from any other house,owned or being bought by you or someone in your household,non-metro,midwest
partnered,50,13.0,NH white,republican,jewish,male,disabled,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,south
partnered,31,12.0,NH white,democrat,catholic,female,disabled,a building with 2 or more apartments,rented for cash,metro,midwest
partnered,22,13.0, NH black,democrat,baptist - any denomination,female,working,a building with 2 or more apartments,rented for cash,metro,midwest
partnered,28,17.0,NH white,democrat,"other non-christian, please specify",female,working,a building with 2 or more apartments,rented for cash,metro,west
partnered,21,13.0,NH white,republican,mormon,male,other,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,west
single,43,16.0, NH black,democrat,baptist - any denomination,male,working,a building with 2 or more apartments,rented for cash,metro,northeast
partnered,50,17.0, NH black,democrat,baptist - any denomination,male,working,a building with 2 or more apartments,rented for cash,metro,midwest
partnered,52,16.0,NH white,democrat,none,male,disabled,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,south
